76	Souad Hadjres	1.2667855733540022E11
124	Yan Zhang	1.4182388296885022E11
192	David Hogg	1.3668255493185019E11
226	Martial Hebert	1.438261621176502E11
234	Gady Agam	1.398232844987002E11
250	Hiroshi Kawasaki	1.374901196015502E11
310	Robert Bergevin	1.2722945318820023E11
325	Francis Schmitt	1.328358325018502E11
337	Sing Bing Kang	1.2878633938860022E11
377	David G. Lowe	1.2952597552545021E11
404	Hongbin Zha	1.399609228099502E11
422	Toshikazu Wada	1.3632824736465019E11
435	Takeo Kanade	1.4699091936210025E11
444	Hong Zhang	1.300628119651502E11
448	Katsushi Ikeuchi	1.4352407417380023E11
456	Piotr Jasiobedzki	1.2297811150910023E11
466	Andrew Edie Johnson	1.378860282164002E11
467	James Davis	1.3727167789415019E11
513	Takeshi Shakunaga	1.2873670765655023E11
521	Ken-ichi Kanatani	1.330899427856002E11
554	Longzhuang Li	1.3008322157100021E11
560	Xin Liu	1.406582389402502E11
582	Ko Nishino	1.3014157768860022E11
584	Kazuhiko Yamamoto	1.2997161004045021E11
607	Sally I. McClean	1.3091143201905022E11
620	Djemel Ziou	1.418235374379002E11
631	Avinash C. Kak	1.391337999683502E11
643	Paul R. Schrater	1.2948710978460022E11
661	Demetri Terzopoulos	1.376185461117502E11
665	Linda G. Shapiro	1.2955241121225021E11
704	Hideo Saito	1.2905394032750021E11
705	Makoto Kimura	1.315856829131502E11
706	Masaaki Mochimaru	1.315856829131502E11
714	Jens Gregor	1.312410405574002E11
737	Sundar Vedula	1.319425374824002E11
748	Xiang Zhang	1.4297340653495023E11
749	Yakup Genc	1.3678398270165019E11
752	Dongmei Zhang	1.374752132093502E11
755	Yu Zhang	1.3040660026385022E11
760	Danijel Skocaj	1.2627888265955023E11
766	Chew Lim Tan	1.3694452021010019E11
794	Jake K. Aggarwal	1.406204538197002E11
798	Steven Feiner	1.397115521347002E11
867	Hongtao Xu	1.357187027316002E11
871	Stefano Lonardi	1.4322794733010022E11
893	Xiaolin Feng	1.330985508376002E11
894	Pietro Perona	1.412093189090002E11
922	Larry S. Davis	1.319646904841502E11
926	Jorge Lobo	1.3741916204610019E11
932	Pengyu Hong	1.2904711138075021E11
933	Zhen Wen	1.3700049403950018E11
934	Thomas S. Huang	1.4707035019865024E11
935	Heung-Yeung Shum	1.423339761569002E11
958	Stan Sclaroff	1.3175901951845021E11
959	Benjamin Bustos	1.314972499476002E11
